year,price,origin,destination,distance
"Feb
2021",226.7,BOS,MIA,1258
"Feb
2021",70.2,BOS,MIA,1258
"Feb
2021",74.2,BOS,MIA,1258
"Mar
2021",42.8,BOS,MIA,1258
"Mar
2021",223.32,BOS,MIA,1258
"Apr
2021",245.31,BOS,MIA,1258
"Apr
2021",319.31,BOS,MIA,1258
"May
2021",285.31,BOS,MIA,1258
"May
2021",371.31,BOS,MIA,1258
"May
2021",237.31,BOS,MIA,1258
"Jun
2021",223.32,BOS,MIA,1258
"Jul
2021",2060.81,BOS,MIA,1258
"Jul
2021",240.47,BOS,MIA,1258
"Aug
2021",303.25,BOS,MIA,1258
"Aug
2021",612.78,BOS,MIA,1258
year,price,origin,destination,distance
"Dec
2020",186.16,BOS,MSP,1124
"Dec
2020",182.26,BOS,MSP,1124
"Jan
2021",137.96,BOS,MSP,1124
"Jan
2021",109.21,BOS,MSP,1124
"Mar
2021",90.39,BOS,MSP,1124
"Mar
2021",181.37,BOS,MSP,1124
"Mar
2021",192.14,BOS,MSP,1124
"Mar
2021",118.97,BOS,MSP,1124
"Apr
2021",495.99,BOS,MSP,1124
"Apr
2021",139.38,BOS,MSP,1124
"May
2021",111.79,BOS,MSP,1124
"May
2021",272.18,BOS,MSP,1124
"May
2021",171.8,BOS,MSP,1124
"Jun
2021",306.81,BOS,MSP,1124
"Jul
2021",276.8,BOS,MSP,1124
"Jul
2021",276.8,BOS,MSP,1124
"Jul
2021",305.36,BOS,MSP,1124
"Aug
2021",446.8,BOS,MSP,1124
"Aug
2021",141.38,BOS,MSP,1124
year,price,origin,destination,distance
"Nov
2020",74.2,BOS,ORD,867
"Nov
2020",86.2,BOS,ORD,867
"Nov
2020",67.16,BOS,ORD,867
"Nov
2020",70.2,BOS,ORD,867
"Dec
2020",77.16,BOS,ORD,867
"Dec
2020",91.16,BOS,ORD,867
"Dec
2020",108.2,BOS,ORD,867
"Dec
2020",131.16,BOS,ORD,867
"Jan
2021",109.16,BOS,ORD,867
"Jan
2021",72.16,BOS,ORD,867
"Jan
2021",131.16,BOS,ORD,867
"Jan
2021",74.52,BOS,ORD,867
"Feb
2021",130.38,BOS,ORD,867
"Feb
2021",106.39,BOS,ORD,867
"Feb
2021",76.39,BOS,ORD,867
"Feb
2021",110.38,BOS,ORD,867
"Mar
2021",116.38,BOS,ORD,867
"Mar
2021",103.39,BOS,ORD,867
"Mar
2021",150.37,BOS,ORD,867
"Mar
2021",138.38,BOS,ORD,867
"Apr
2021",44.8,BOS,ORD,867
"May
2021",64.99,BOS,ORD,867
"Jun
2021",172.46,BOS,ORD,867
"Jun
2021",330.36,BOS,ORD,867
"Jun
2021",204.46,BOS,ORD,867
"Jul
2021",308.36,BOS,ORD,867
"Aug
2021",182.46,BOS,ORD,867
"Aug
2021",123.38,BOS,ORD,867
"Sep
2021",59.86,BOS,ORD,867
year,price,origin,destination,distance
"Nov
2020",232.16,BOS,PHL,280
"Nov
2020",141.16,BOS,PHL,280
"Nov
2020",80.2,BOS,PHL,280
"Nov
2020",144.7,BOS,PHL,280
"Dec
2020",103.2,BOS,PHL,280
